Time,X,Y,Type
31.295,1292,852, 0
31.303,1235,869, 0
31.311,1088,907, 0
31.319,1023,924, 0
31.327,956,936, 0
31.335,809,962, 0
31.343,751,970, 0
31.351,639,984, 0
31.359,606,987, 0
31.367,583,989, 0
31.375,545,990, 0
31.383,545,990, 0
31.391,547,987, 0
31.399,573,975, 0
31.407,598,968, 0
31.415,698,936, 0
31.423,755,922, 0
31.431,913,881, 0
31.439,991,864, 0
31.447,1071,846, 0
31.455,1248,810, 0
31.463,1320,795, 0
31.471,1384,785, 0
31.479,1497,764, 0
31.487,1520,760, 0
31.495,1536,757, 0
31.503,1535,760, 0
31.511,1530,761, 0
31.519,1504,771, 0
31.527,1483,777, 0
31.535,1389,797, 0
31.543,1336,807, 0
31.551,1275,817, 0
31.559,1109,841, 0
31.567,1024,852, 0
31.575,829,872, 0
31.583,742,880, 0
31.591,654,889, 0
31.599,481,904, 0
31.607,418,910, 0
31.615,304,917, 0
31.623,282,918, 0
31.631,267,918, 0
31.639,268,917, 0
31.647,272,915, 0
31.655,279,913, 0
31.663,312,905, 0
31.671,336,901, 0
31.679,419,886, 0
31.687,458,880, 0
31.695,564,867, 0
31.703,612,861, 0
31.711,656,856, 0
31.719,760,844, 0
31.727,797,839, 0
31.735,874,828, 0
31.743,891,827, 0
31.751,902,825, 0
31.759,908,825, 0
31.767,904,825, 0
31.775,898,826, 0
31.783,865,835, 0
31.791,835,843, 0
31.799,733,868, 0
31.807,674,883, 0
31.815,518,916, 0
31.823,443,933, 0
31.831,368,950, 0
31.839,215,994, 0
31.847,158,1012, 0
31.855,67,1060, 0
31.863,47,1075, 0
31.871,35,1089, 0
31.878,24,1122, 0
31.886,25,1091, 0
31.894,31,1094, 0
31.902,74,1126, 0
31.91,97,1099, 0
31.918,178,1132, 0
31.926,218,1102, 0
31.934,317,1137, 0
31.942,357,1104, 0
31.95,397,1102, 0
31.958,478,1133, 0
31.966,506,1099, 0
31.974,554,1127, 0
31.982,564,1093, 0
31.99,568,1091, 0
31.998,568,1112, 0
32.006,561,1090, 0
32.014,524,1112, 0
32.022,495,1094, 0
32.03,389,1116, 0
32.038,333,1091, 0
32.046,267,1087, 0
32.054,101,1096, 0
32.062,26,1081, 0
32.07,-53,1079, 0
32.078,-173,1073, 0
32.086,-68,1067, 0
32.094,-137,1041, 0
32.102,-48,1027, 0
32.11,-39,1014, 0
32.118,-74,972, 0
32.126,-20,955, 0
32.134,-39,909, 0
32.142,-9,893, 0
32.15,-14,839, 0
32.158,-2,822, 0
32.166,0,805, 0
32.174,14,746, 0
32.182,24,723, 0
32.19,68,658, 0
32.198,94,632, 0
32.206,122,605, 0
32.214,215,536, 0
32.222,260,506, 0
32.23,381,438, 0
32.238,434,411, 0
32.246,486,389, 0
32.254,595,343, 0
32.262,629,330, 0
32.27,686,308, 0
32.278,696,304, 0
32.286,695,305, 0
32.294,687,309, 0
32.302,681,313, 0
32.31,672,317, 0
32.318,641,337, 0
32.326,625,350, 0
32.334,572,394, 0
32.342,554,412, 0
32.35,507,469, 0
32.358,493,493, 0
32.366,480,520, 0
32.374,461,592, 0
32.382,461,617, 0
32.39,470,686, 0
32.398,481,709, 0
32.406,500,736, 0
32.414,571,799, 0
32.422,609,823, 0
32.43,723,877, 0
32.438,778,899, 0
32.446,835,920, 0
32.454,965,955, 0
32.462,1013,967, 0
32.47,1109,987, 0
32.478,1135,990, 0
32.486,1177,995, 0
32.494,1185,996, 0
32.502,1185,994, 0
32.51,1185,990, 0
32.518,1183,983, 0
32.526,1177,960, 0
32.534,1177,949, 0
32.542,1179,907, 0
32.55,1185,888, 0
32.558,1192,840, 0
32.566,1197,823, 0
32.574,1218,766, 0
32.582,1225,744, 0
32.59,1248,681, 0
32.598,1254,657, 0
32.606,1259,636, 0
32.614,1261,579, 0
32.622,1259,558, 0
32.63,1234,503, 0
32.638,1220,485, 0
32.646,1202,467, 0
32.654,1129,421, 0
32.661,1093,405, 0
32.67,990,368, 0
32.677,944,357, 0
32.686,839,329, 0
32.694,804,322, 0
32.702,778,318, 0
32.709,738,309, 0
32.726,738,309, 0
32.734,748,309, 0
32.742,757,311, 0
32.749,769,314, 0
32.758,822,322, 0
32.766,857,329, 0
32.774,955,345, 0
32.782,1001,354, 0
32.789,1113,375, 0
32.797,1164,385, 0
32.805,1214,394, 0
32.813,1330,422, 0
32.821,1376,433, 0
32.829,1473,465, 0
32.837,1506,479, 0
32.845,1578,514, 0
32.853,1597,526, 0
32.861,1612,537, 0
32.869,1646,572, 0
32.877,1652,583, 0
32.885,1662,615, 0
32.893,1663,628, 0
32.901,1663,641, 0
32.909,1645,681, 0
32.917,1632,701, 0
32.925,1611,721, 0
32.933,1537,779, 0
32.941,1499,806, 0
32.949,1392,862, 0
32.957,1340,884, 0
32.965,1207,929, 0
32.973,1151,945, 0
32.981,1094,957, 0
32.989,974,978, 0
32.997,935,983, 0
33.005,854,985, 0
33.013,834,985, 0
33.021,822,984, 0
33.029,800,974, 0
33.037,796,968, 0
33.045,792,949, 0
33.053,792,940, 0
33.061,809,907, 0
33.069,824,890, 0
33.077,845,869, 0
33.085,926,808, 0
33.093,972,778, 0
33.101,1023,745, 0
33.109,1162,669, 0
33.117,1229,634, 0
33.125,1379,557, 0
33.133,1440,523, 0
33.141,1556,450, 0
33.149,1589,424, 0
33.157,1615,400, 0
33.165,1647,349, 0
33.173,1648,337, 0
33.181,1636,305, 0
33.189,1618,290, 0
33.197,1594,276, 0
33.205,1499,235, 0
33.213,1450,219, 0
33.221,1318,184, 0
33.229,1262,172, 0
33.237,1203,160, 0
33.245,1080,136, 0
33.253,1032,129, 0
33.261,936,113, 0
33.269,905,110, 0
33.277,883,108, 0
33.285,839,105, 0
33.293,831,105, 0
33.301,824,105, 0
33.309,824,105, 0
33.317,825,111, 0
33.325,828,115, 0
33.333,833,121, 0
33.341,850,130, 0
33.349,861,134, 0
33.357,877,139, 0
33.365,955,159, 0
33.373,995,168, 0
33.381,1118,191, 0
33.389,1176,201, 0
33.397,1238,211, 0
33.405,1374,235, 0
33.413,1425,247, 0
33.421,1522,269, 0
33.429,1547,279, 0
33.437,1564,285, 0
33.445,1591,304, 0
33.453,1595,311, 0
33.461,1595,329, 0
33.469,1592,338, 0
33.477,1586,348, 0
33.485,1552,373, 0
33.493,1529,384, 0
33.501,1450,413, 0
33.509,1407,422, 0
33.517,1285,438, 0
33.525,1228,440, 0
33.533,1079,442, 0
33.541,1014,439, 0
33.549,945,431, 0
33.556,795,402, 0
33.564,736,386, 0
33.572,684,368, 0
33.58,588,320, 0
33.588,558,299, 0
33.596,511,244, 0
33.604,503,224, 0
33.612,499,205, 0
33.62,502,148, 0
33.628,509,125, 0
33.636,545,66, 0
33.644,563,41, 0
33.652,582,21, 0
33.66,638,-37, 0
33.668,656,-19, 0
33.676,706,-45, 0
33.684,719,-13, 0
33.692,750,-30, 0
33.7,756,-7, 0
33.708,761,-6, 0
33.716,766,-9, 0
33.724,766,-2, 0
33.732,763,-4, 0
33.74,757,-2, 0
33.748,747,-1, 0
33.756,713,0, 0
33.764,697,0, 0
33.772,639,7, 0
33.78,620,11, 0
33.788,607,14, 0
33.796,573,28, 0
33.804,563,34, 0
33.812,547,48, 0
33.82,543,54, 0
33.828,541,61, 0
33.836,541,80, 0
33.844,545,87, 0
33.852,568,115, 0
33.86,582,125, 0
33.868,652,164, 0
33.876,691,183, 0
33.884,735,200, 0
33.892,852,244, 0
33.9,904,262, 0
33.908,1026,307, 0
33.916,1072,324, 0
33.924,1116,341, 0
33.932,1201,382, 0
33.94,1223,396, 0
33.948,1267,432, 0
33.956,1275,442, 0
33.964,1279,454, 0
33.972,1282,487, 0
33.98,1279,499, 0
33.988,1254,540, 0
33.996,1237,560, 0
34.004,1217,579, 0
34.012,1144,634, 0
34.02,1111,654, 0
34.028,1020,706, 0
34.036,978,725, 0
34.044,880,769, 0
34.052,839,786, 0
34.06,800,799, 0
34.068,704,821, 0
34.076,672,826, 0
34.084,593,830, 0
34.092,572,830, 0
34.1,551,828, 0
34.108,504,809, 0
34.116,494,802, 0
34.124,476,777, 0
34.132,473,765, 0
34.14,472,753, 0
34.148,480,710, 0
34.156,491,689, 0
34.164,536,626, 0
34.172,558,601, 0
34.18,584,577, 0
34.188,656,512, 0
34.196,684,489, 0
34.204,744,433, 0
34.212,762,415, 0
34.22,789,377, 0
34.228,793,367, 0
34.236,793,357, 0
34.244,784,339, 0
34.252,775,332, 0
34.26,761,326, 0
34.268,696,310, 0
34.276,663,306, 0
34.283,565,302, 0
34.291,524,302, 0
34.3,425,302, 0
34.307,391,304, 0
34.316,360,307, 0
34.323,307,317, 0
34.332,297,320, 0
34.34,287,328, 0
34.348,287,332, 0
34.355,288,337, 0
34.364,306,352, 0
34.371,322,361, 0
34.38,388,391, 0
34.387,421,405, 0
34.395,457,418, 0
34.403,560,454, 0
34.411,603,467, 0
34.419,714,502, 0
34.427,760,515, 0
34.435,804,529, 0
34.443,898,560, 0
34.451,929,574, 0
34.459,990,603, 0
34.467,1002,611, 0
34.475,1020,633, 0
34.483,1024,641, 0
34.491,1024,649, 0
34.499,1018,673, 0
34.507,1011,683, 0
34.515,981,711, 0
34.523,964,724, 0
34.531,945,736, 0
34.539,881,772, 0
34.547,856,783, 0
34.555,790,806, 0
34.563,768,814, 0
34.571,747,818, 0
34.579,700,824, 0
34.587,688,824, 0
34.595,667,822, 0
34.603,661,820, 0
34.611,655,817, 0
34.619,646,807, 0
34.627,644,802, 0
34.635,639,789, 0
34.643,638,783, 0
34.651,637,764, 0
34.659,638,755, 0
34.667,641,747, 0
34.675,654,720, 0
34.683,661,709, 0
34.691,687,681, 0
34.699,702,669, 0
34.707,719,655, 0
34.715,776,617, 0
34.723,802,604, 0
34.731,874,564, 0
34.739,905,551, 0
34.747,934,537, 0
34.755,1010,507, 0
34.763,1038,495, 0
34.771,1096,472, 0
34.779,1111,466, 0
34.787,1121,461, 0
34.795,1134,452, 0
34.803,1136,450, 0
34.811,1138,444, 0
34.819,1137,442, 0
34.827,1125,437, 0
34.835,1114,434, 0
34.843,1101,431, 0
34.851,1053,422, 0
34.859,1027,417, 0
34.867,944,402, 0
34.875,913,397, 0
34.883,878,390, 0
34.891,796,375, 0
34.899,769,368, 0
34.907,745,364, 0
34.915,695,354, 0
34.923,685,352, 0
34.931,678,351, 0
34.955,679,352, 0
34.963,688,355, 0
34.971,696,359, 0
34.979,702,362, 0
34.987,709,364, 0
34.995,739,372, 0
35.003,753,377, 0
35.011,810,398, 0
35.019,833,407, 0
35.026,909,435, 0
35.034,938,448, 0
35.042,969,460, 0
35.05,1048,498, 0
35.058,1075,513, 0
35.066,1099,527, 0
35.074,1150,562, 0
35.082,1162,573, 0
35.09,1186,606, 0
35.098,1191,616, 0
35.106,1195,647, 0
35.114,1195,660, 0
35.122,1191,674, 0
35.13,1174,716, 0
35.138,1162,735, 0
35.146,1124,794, 0
35.154,1107,814, 0
35.162,1087,837, 0
35.17,1034,892, 0
35.178,1011,912, 0
35.186,951,961, 0
35.194,926,978, 0
35.202,902,994, 0
35.21,833,1029, 0
35.218,805,1040, 0
