Time,X,Y,Type
93.209,790,250,0
93.217,788,251,0
93.225,787,251,0
93.233,785,252,0
93.241,783,252,0
93.249,781,253,0
93.257,778,255,0
93.264,773,257,0
93.273,771,259,0
93.281,769,260,0
93.289,767,263,0
93.297,765,264,0
93.305,764,266,0
93.313,763,267,0
93.32,763,268,0
93.328,762,269,0
93.337,762,270,0
93.344,762,271,0
93.352,762,271,0
93.36,762,272,0
93.368,762,273,0
93.376,762,274,0
93.384,762,275,0
93.392,762,276,0
93.4,763,277,0
93.408,764,277,0
93.416,764,278,0
93.424,765,278,0
93.432,765,279,0
93.44,766,280,0
93.448,768,282,0
93.456,769,284,0
93.464,770,285,0
93.472,772,286,0
93.48,772,287,0
93.488,772,287,0
93.496,773,287,0
93.504,774,287,0
93.512,775,287,0
93.52,776,287,0
93.528,778,287,0
93.536,779,287,0
93.544,782,287,0
93.552,784,287,0
93.56,786,287,0
93.568,787,287,0
93.576,789,287,0
93.584,790,287,0
93.592,791,286,0
93.6,793,285,0
93.608,795,285,0
93.616,796,285,0
93.624,797,284,0
93.632,800,283,0
93.64,801,283,0
93.648,802,283,0
93.656,805,282,0
93.664,807,281,0
93.672,810,281,0
93.68,812,280,0
93.688,812,280,0
93.696,814,280,0
93.704,814,280,0
93.712,815,280,0
93.72,815,280,0
93.728,816,280,0
93.736,817,279,0
93.744,819,279,0
93.752,821,279,0
93.76,823,279,0
93.768,825,279,0
93.776,828,279,0
93.784,832,279,0
93.792,835,279,0
93.8,839,279,0
93.808,842,279,0
93.816,847,279,0
93.824,851,279,0
93.832,855,279,0
93.84,858,279,0
93.848,864,279,0
93.848,864,279,2
93.856,871,279,0
93.864,878,279,0
93.872,883,279,0
93.88,885,279,0
93.888,888,279,0
93.896,890,279,0
93.904,891,279,0
93.912,893,279,0
93.92,894,279,0
93.928,895,279,0
93.936,895,279,0
93.944,896,279,0
93.952,897,279,0
93.96,899,280,0
93.968,901,280,0
93.976,903,280,0
93.984,904,281,0
94.024,905,281,0
94.04,905,282,0
94.048,905,282,1
94.096,905,282,0
94.104,906,282,0
94.112,908,283,0
94.12,910,284,0
94.128,911,285,0
94.128,911,285,2
94.135,912,286,0
94.143,913,286,0
94.151,914,286,0
94.159,914,287,0
94.167,915,287,0
94.175,915,287,0
94.183,916,287,0
94.191,917,288,0
94.199,918,288,0
94.207,918,288,0
94.215,919,289,0
94.223,920,289,0
94.239,920,289,0
94.247,921,289,0
94.263,921,290,0
94.271,921,290,0
94.295,922,290,0
94.303,922,290,0
94.311,922,290,0
94.319,923,290,0
94.327,924,290,0
94.335,924,291,0
94.343,925,291,0
94.351,925,291,0
94.359,927,291,0
94.367,928,291,0
94.375,929,292,0
94.383,930,292,0
94.391,931,292,0
94.399,932,292,0
94.407,933,292,0
94.415,934,292,0
94.423,935,292,0
94.431,936,292,0
94.439,936,292,0
94.447,937,292,0
94.455,938,292,0
94.463,939,292,0
94.471,939,292,0
94.479,941,292,0
94.487,943,292,0
94.495,945,292,0
94.503,946,292,0
94.511,947,292,0
94.519,948,292,0
94.527,949,292,0
94.535,950,292,0
94.543,951,292,0
94.551,952,292,0
94.559,954,292,0
94.567,956,292,0
94.575,958,291,0
94.583,961,290,0
94.591,963,290,0
94.599,964,289,0
94.607,967,288,0
94.615,970,288,0
94.623,973,287,0
94.631,975,287,0
94.639,978,287,0
94.647,980,287,0
94.655,981,287,0
94.663,983,287,0
94.671,984,287,0
94.679,985,287,0
94.735,985,287,1
94.847,985,287,0
94.855,986,287,0
94.863,988,287,0
94.871,993,287,0
94.879,999,288,0
94.887,1006,289,0
94.895,1010,289,0
94.903,1020,290,0
94.911,1028,290,0
94.919,1037,292,0
94.927,1044,292,0
94.935,1055,292,0
94.943,1067,292,0
94.951,1080,292,0
94.959,1093,294,0
94.967,1107,295,0
94.975,1121,296,0
94.983,1136,298,0
94.991,1153,299,0
94.999,1173,301,0
95.007,1184,302,0
95.015,1203,304,0
95.023,1219,308,0
95.031,1232,309,0
95.039,1246,310,0
95.047,1255,311,0
95.055,1266,313,0
95.063,1273,314,0
95.071,1281,315,0
95.079,1286,315,0
95.087,1293,316,0
95.095,1298,317,0
95.103,1302,319,0
95.111,1305,319,0
95.118,1308,319,0
95.127,1309,320,0
95.134,1311,320,0
95.295,1310,320,0
95.303,1310,320,0
95.311,1309,320,0
95.318,1307,319,0
95.326,1306,319,0
95.334,1304,319,0
95.342,1301,318,0
95.35,1299,317,0
95.358,1296,316,0
95.366,1293,315,0
95.374,1290,315,0
95.382,1285,313,0
95.39,1277,312,0
95.398,1270,311,0
95.406,1260,310,0
95.414,1248,308,0
95.422,1233,307,0
95.43,1217,304,0
95.438,1193,301,0
95.446,1165,298,0
95.454,1134,295,0
95.462,1093,293,0
95.47,1054,290,0
95.478,1010,288,0
95.486,969,284,0
95.494,922,282,0
95.502,878,281,0
95.51,843,279,0
95.518,813,279,0
95.526,785,279,0
95.534,771,279,0
95.542,758,279,0
95.55,746,279,0
95.558,738,279,0
95.566,730,279,0
95.574,720,280,0
95.582,712,281,0
95.59,706,282,0
95.598,701,282,0
95.606,698,283,0
95.614,693,284,0
95.622,688,284,0
95.63,686,284,0
95.638,682,284,0
95.646,677,285,0
95.654,675,285,0
95.662,673,286,0
95.67,671,287,0
95.678,670,287,0
95.686,668,287,0
95.694,668,287,0
95.71,668,288,0
95.774,668,288,0
95.782,668,289,0
95.79,667,290,0
95.798,667,292,0
95.806,667,294,0
95.814,667,296,0
95.822,666,298,0
95.83,665,301,0
95.838,665,302,0
95.846,665,305,0
95.854,665,306,0
95.862,665,306,0
95.87,665,307,0
96.374,665,308,0
96.438,665,308,0
96.446,665,309,0
96.454,665,309,0
96.462,666,310,0
96.47,666,310,0
96.478,666,310,0
96.486,667,310,0
96.502,667,310,2
96.51,667,311,0
96.518,667,312,0
96.526,667,312,0
96.534,667,313,0
96.678,667,313,0
96.71,667,313,0
96.718,667,314,0
96.726,666,314,0
96.734,665,314,0
96.742,665,314,0
96.75,663,314,0
96.758,662,315,0
96.766,661,316,0
96.774,658,316,0
96.782,655,317,0
96.79,653,319,0
96.798,652,319,0
96.806,652,319,0
96.814,652,319,0
96.822,651,319,0
96.838,651,319,0
96.854,650,319,0
96.974,650,319,1
97.094,650,319,2
97.134,650,320,0
97.358,650,320,0
97.365,650,321,0
97.374,650,321,0
97.381,650,321,0
97.39,650,322,0
97.397,650,323,0
97.405,651,323,0
97.421,651,324,0
97.429,651,324,0
97.445,651,325,0
97.461,651,325,0
97.469,651,326,0
97.485,651,327,0
97.493,651,327,0
97.501,651,328,0
97.509,651,328,0
97.517,651,328,0
97.525,651,329,0
97.533,650,329,0
97.541,650,330,0
97.549,650,331,0
97.557,648,331,0
97.565,648,331,0
97.581,647,331,0
97.589,647,332,0
97.597,647,332,0
97.613,646,332,0
97.621,646,333,0
97.629,646,333,0
97.637,645,333,0
97.661,644,334,0
98.621,645,334,0
98.629,645,333,0
98.637,646,333,0
98.645,646,333,0
98.653,646,331,0
98.661,647,330,0
98.669,647,328,0
98.677,648,327,0
98.685,648,325,0
98.693,648,323,0
98.701,648,322,0
98.709,648,321,0
98.717,648,319,0
98.725,648,317,0
98.733,648,316,0
98.741,648,315,0
98.749,648,314,0
98.757,648,314,0
98.765,648,313,0
98.773,648,312,0
98.781,648,312,0
98.797,648,312,0
98.805,648,311,0
98.813,648,311,0
98.821,648,311,0
98.829,648,310,0
98.837,647,310,0
98.845,647,309,0
98.853,647,308,0
98.861,647,308,0
98.925,648,308,0
98.933,649,308,0
98.941,650,308,0
98.949,654,308,0
98.957,655,309,0
98.965,655,310,0
98.973,656,311,0
98.981,657,312,0
98.989,658,314,0
98.997,658,315,0
99.005,659,316,0
99.013,660,316,0
99.021,660,317,0
99.029,660,317,0
99.037,660,318,0
99.045,661,318,0
99.061,661,319,0
99.069,661,319,0
99.076,661,320,0
99.085,662,320,0
99.101,662,320,0
99.117,662,321,0
99.124,662,321,0
99.14,662,321,0
99.148,663,322,0
99.156,663,322,0
99.164,663,323,0
99.18,663,323,0
99.188,663,324,0
99.196,664,324,0
99.212,664,325,0
99.22,664,325,0
99.228,665,325,0
99.236,665,325,0
99.244,665,326,0
99.252,666,326,0
99.26,666,327,0
129.828,667,327,0
129.836,668,327,0
129.844,679,316,0
129.852,693,294,0
129.86,712,250,0
129.868,726,191,0
129.876,741,127,0
129.884,751,68,0
129.892,762,28,0
129.906,769,8,0
129.908,774,2,0
129.916,778,-2,0
129.924,779,-1,0
129.932,782,0,0
129.94,784,0,0
129.948,785,0,0
129.956,788,5,0
129.964,790,16,0
129.972,795,34,0
129.98,801,58,0
129.988,805,81,0
129.996,813,109,0
130.004,823,139,0
130.012,833,164,0
130.02,838,177,0
130.028,845,198,0
130.036,850,215,0
130.044,853,230,0
130.052,853,242,0
130.06,853,254,0
130.068,851,264,0
130.076,847,272,0
130.084,843,278,0
130.092,841,282,0
130.1,838,284,0
130.108,838,285,0
130.116,835,287,0
130.124,834,287,0
130.132,834,287,0
130.14,832,288,0
130.148,829,290,0
130.156,825,291,0
130.164,820,294,0
130.172,815,297,0
130.18,807,301,0
130.188,801,306,0
130.196,791,312,0
