#KeystrokeID,Time,IsKeyDown,Key
522,517.263,0,KEY_T
523,517.319,1,KEY_T
524,517.519,0,KEY_A
525,517.647,1,KEY_A
526,517.648,0,KEY_I
527,517.767,0,KEY_N
528,517.911,0,SPACE
529,517.959,1,KEY_I
530,517.983,1,KEY_N
531,518.079,1,SPACE
532,518.223,0,KEY_A
533,518.343,0,SPACE
534,518.399,1,KEY_A
535,518.511,1,SPACE
536,518.695,0,KEY_S
537,518.807,1,KEY_S
538,518.903,0,KEY_E
539,518.983,1,KEY_E
540,519.015,0,KEY_N
541,519.111,1,KEY_N
542,519.159,0,KEY_S
543,519.255,1,KEY_S
544,519.351,0,KEY_E
545,519.455,0,SPACE
546,519.471,1,KEY_E
547,519.615,1,SPACE
548,519.703,0,KEY_O
549,519.815,1,KEY_O
550,519.816,0,KEY_F
551,519.927,1,KEY_F
552,519.959,0,SPACE
553,520.103,1,SPACE
554,520.343,0,KEY_C
555,520.471,0,KEY_O
556,520.487,1,KEY_C
557,520.583,0,KEY_M
558,520.703,1,KEY_O
559,520.704,1,KEY_M
560,520.839,0,KEY_P
561,520.959,1,KEY_P
562,520.983,0,KEY_E
563,521.095,1,KEY_E
564,521.791,0,KEY_I
565,521.879,1,KEY_I
566,521.895,0,KEY_T
567,522.007,1,KEY_T
568,522.008,0,KEY_I
569,522.095,1,KEY_I
570,522.207,0,KEY_O
571,522.319,0,KEY_N
572,522.447,1,KEY_O
573,522.448,1,KEY_N
574,522.967,0,OEM_PERIOD
575,523.047,1,OEM_PERIOD
576,523.071,0,SPACE
577,523.183,1,SPACE
578,529.431,0,RSHIFT
579,529.671,0,KEY_S
580,529.799,1,RSHIFT
581,529.855,1,KEY_S
582,529.903,0,KEY_O
583,529.975,1,KEY_O
584,530.095,0,KEY_M
585,530.199,1,KEY_M
586,530.351,0,KEY_E
587,530.527,1,KEY_E
588,530.879,0,SPACE
589,531.031,1,SPACE
590,531.647,0,KEY_M
591,531.735,1,KEY_M
592,532.135,0,BACK
593,532.207,1,BACK
594,532.311,0,BACK
595,532.375,1,BACK
596,532.463,0,BACK
597,532.535,1,BACK
598,532.615,0,BACK
599,532.687,1,BACK
600,532.767,0,BACK
601,532.847,1,BACK
602,532.935,0,BACK
603,532.991,1,BACK
604,533.079,0,BACK
605,533.143,1,BACK
606,533.735,0,BACK
607,533.799,1,BACK
608,534.519,0,OEM_COMMA
609,534.583,1,OEM_COMMA
610,534.663,0,SPACE
611,534.759,1,SPACE
612,535.175,0,KEY_A
613,535.247,0,KEY_N
614,535.295,1,KEY_A
615,535.311,1,KEY_N
616,535.391,0,KEY_D
617,535.575,1,KEY_D
618,535.863,0,SPACE
619,536.023,1,SPACE
620,536.919,0,KEY_O
621,537.047,0,SPACE
622,537.087,1,KEY_O
623,537.223,1,SPACE
624,537.335,0,KEY_M
625,537.423,1,KEY_M
626,537.711,0,BACK
627,537.775,1,BACK
628,537.863,0,BACK
629,537.935,1,BACK
630,538.015,0,BACK
631,538.111,1,BACK
632,538.495,0,KEY_T
633,538.623,1,KEY_T
634,538.624,0,KEY_O
635,538.711,1,KEY_O
636,539.095,0,SPACE
637,539.255,1,SPACE
638,539.343,0,KEY_M
639,539.471,1,KEY_M
640,539.472,0,KEY_E
641,539.599,1,KEY_E
642,539.775,0,OEM_COMMA
643,539.911,1,OEM_COMMA
644,539.912,0,SPACE
645,540.063,1,SPACE
646,540.951,0,KEY_I
647,541.047,1,KEY_I
648,541.063,0,KEY_T
649,541.103,1,KEY_T
650,541.207,0,KEY_S
651,541.375,1,KEY_S
652,541.376,0,SPACE
653,541.511,1,SPACE
654,541.543,0,KEY_I
655,541.655,0,KEY_S
656,541.671,1,KEY_I
657,541.783,0,SPACE
658,541.823,1,KEY_S
659,541.927,1,SPACE
660,542.447,0,BACK
661,542.519,1,BACK
662,542.607,0,BACK
663,542.687,1,BACK
664,542.759,0,BACK
665,542.831,1,BACK
666,542.919,0,BACK
667,543.419,0,BACK
668,543.451,0,BACK
669,543.484,0,BACK
670,543.517,0,BACK
671,543.551,0,BACK
672,543.583,0,BACK
673,543.616,0,BACK
674,543.649,0,BACK
675,543.682,0,BACK
676,543.715,0,BACK
677,543.749,0,BACK
678,543.782,0,BACK
679,543.814,0,BACK
680,543.847,0,BACK
681,543.88,0,BACK
682,543.911,1,BACK
683,544.255,0,BACK
684,544.343,1,BACK
685,545.031,0,OEM_PERIOD
686,545.087,1,OEM_PERIOD
687,545.111,0,SPACE
688,545.223,1,SPACE
689,545.399,0,RSHIFT
690,545.543,0,KEY_S
691,545.623,1,RSHIFT
692,545.703,1,KEY_S
693,545.807,0,KEY_O
694,545.863,1,KEY_O
695,545.959,0,KEY_M
696,546.047,1,KEY_M
697,546.087,0,KEY_E
698,546.183,0,SPACE
699,546.207,1,KEY_E
700,546.343,1,SPACE
701,546.503,0,KEY_M
702,546.559,1,KEY_M
703,546.623,0,KEY_A
704,546.743,1,KEY_A
705,546.895,0,KEY_Y
706,547.015,0,SPACE
707,547.063,1,KEY_Y
708,547.191,1,SPACE
709,547.423,0,KEY_A
710,547.559,1,KEY_A
711,548.023,0,KEY_G
712,548.079,1,KEY_G
713,548.359,0,KEY_E
714,548.487,1,KEY_E
715,548.631,0,OEM_COMMA
716,548.703,1,OEM_COMMA
717,549.335,0,BACK
718,549.399,1,BACK
719,549.503,0,BACK
720,549.567,1,BACK
721,549.663,0,BACK
722,549.711,1,BACK
723,549.863,0,BACK
724,549.951,1,BACK
725,550.079,0,BACK
726,550.151,1,BACK
727,550.263,0,BACK
728,550.335,1,BACK
729,550.431,0,BACK
730,550.495,1,BACK
731,550.599,0,BACK
732,550.679,1,BACK
733,550.759,0,BACK
734,550.863,1,BACK
735,550.951,0,BACK
736,551.007,1,BACK
737,551.103,0,BACK
738,551.167,1,BACK
739,551.271,0,BACK
740,551.343,1,BACK
741,551.463,0,BACK
742,551.535,1,BACK
743,552.071,0,RSHIFT
744,552.279,0,KEY_C
745,552.431,1,RSHIFT
746,552.471,1,KEY_C
747,552.791,0,KEY_O
748,552.999,0,KEY_M
749,553.103,1,KEY_O
750,553.143,1,KEY_M
751,553.535,0,BACK
752,553.599,1,BACK
753,553.703,0,BACK
754,553.775,1,BACK
755,553.871,0,BACK
756,553.943,1,BACK
757,554.503,0,RSHIFT
758,554.695,0,KEY_C
759,554.791,1,RSHIFT
760,554.823,1,KEY_C
761,554.959,0,KEY_O
762,555.087,0,KEY_M
763,555.168,1,KEY_O
764,555.169,1,KEY_M
765,555.455,0,KEY_P
766,555.535,1,KEY_P
767,556.039,0,KEY_E
768,556.119,1,KEY_E
769,556.487,0,KEY_T
770,556.543,1,KEY_T
771,556.703,0,KEY_T
772,556.807,1,KEY_T
773,556.808,0,KEY_I
774,556.959,1,KEY_I
775,557.239,0,BACK
776,557.319,1,BACK
777,557.471,0,BACK
778,557.559,1,BACK
779,558.055,0,KEY_I
780,558.151,1,KEY_I
781,558.183,0,KEY_T
782,558.271,1,KEY_T
783,558.447,0,KEY_I
784,558.559,1,KEY_I
785,558.719,0,KEY_O
786,558.871,0,KEY_N
787,559.007,0,SPACE
788,559.047,1,KEY_O
789,559.119,1,KEY_N
790,559.207,1,SPACE
791,560.047,0,KEY_I
792,560.151,1,KEY_I
793,560.183,0,KEY_S
794,560.319,1,KEY_S
795,560.399,0,SPACE
796,560.535,1,SPACE
797,560.999,0,BACK
798,561.063,1,BACK
799,561.135,0,BACK
800,561.199,1,BACK
801,561.279,0,BACK
802,561.351,1,BACK
803,562.583,0,BACK
804,563.083,0,BACK
805,563.116,0,BACK
806,563.148,0,BACK
807,563.182,0,BACK
808,563.214,0,BACK
809,563.247,0,BACK
810,563.28,0,BACK
811,563.313,0,BACK
812,563.346,0,BACK
813,563.379,0,BACK
814,563.407,1,BACK
815,563.615,0,BACK
816,563.663,1,BACK
817,564.086,0,RSHIFT
818,564.287,0,KEY_B
819,564.359,1,RSHIFT
820,564.36,1,KEY_B
821,564.567,0,KEY_Y
822,564.655,0,SPACE
823,564.727,1,KEY_Y
824,564.823,1,SPACE
825,565.223,0,KEY_C
826,565.327,1,KEY_C
827,565.343,0,KEY_O
828,565.471,0,KEY_M
829,565.599,1,KEY_O
830,565.639,1,KEY_M
831,566.343,0,KEY_P
832,566.471,1,KEY_P
833,566.703,0,KEY_E
834,566.791,1,KEY_E
835,567.063,0,KEY_T
836,567.135,1,KEY_T
837,567.215,0,KEY_I
838,567.303,1,KEY_I
839,567.327,0,KEY_T
840,567.407,1,KEY_T
841,567.447,0,KEY_I
842,567.511,1,KEY_I
843,567.622,0,KEY_O
844,567.751,0,KEY_N
845,567.831,1,KEY_O
